,Date,RainTomorrow
0,2009/12/10,No
1,2017/3/11,No
2,2014/12/2,No
3,2017/2/8,No
4,2013/1/2,No
5,2009/3/9,No
6,2012/3/14,Yes
7,2011/10/18,Yes
8,2011/9/10,No
9,2009/8/19,No
10,2010/8/15,No
11,2010/4/29,No
12,2017/2/22,No
13,2011/7/28,No
14,2016/9/24,No
15,2012/4/7,No
16,2015/1/18,No
17,2009/9/11,No
18,2011/2/12,No
19,2012/5/20,No
20,2011/7/18,No
21,2014/2/19,No
22,2016/9/19,No
23,2014/10/20,No
24,2011/7/25,No
25,2016/9/26,No
26,2016/2/13,No
27,2014/3/7,No
28,2010/2/1,No
29,2016/5/19,No
30,2009/8/14,No
31,2011/3/30,No
32,2016/3/28,No
33,2009/11/6,No
34,2017/3/30,No
35,2010/7/4,No
36,2010/2/24,No
37,2011/1/5,Yes
38,2017/4/10,No
39,2014/7/1,No
40,2010/9/12,Yes
41,2010/2/19,No
42,2016/8/9,No
43,2013/12/6,No
44,2011/6/19,No
45,2017/5/8,No
46,2016/4/22,No
47,2016/5/10,No
48,2014/5/21,No
49,2016/5/26,No
50,2009/5/22,Yes
51,2015/10/8,Yes
52,2016/5/9,Yes
53,2013/12/17,No
54,2013/8/21,No
55,2014/2/16,No
56,2013/5/7,No
57,2017/3/28,No
58,2009/4/19,Yes
59,2016/4/14,No
60,2010/9/27,Yes
61,2016/6/9,No
62,2009/4/10,No
63,2015/1/30,No
64,2015/2/14,No
65,2016/10/26,Yes
66,2016/2/28,No
67,2013/7/19,Yes
68,2009/2/24,No
69,2014/3/21,No
70,2013/4/20,No
71,2015/12/6,Yes
72,2013/11/23,No
73,2009/6/18,Yes
74,2014/1/21,No
75,2015/6/23,No
76,2010/5/23,No
77,2010/7/7,No
78,2016/6/12,No
79,2009/5/22,Yes
80,2016/3/26,No
81,2010/6/8,No
82,2010/11/28,No
83,2012/10/8,No
84,2010/3/30,No
85,2012/6/4,No
86,2012/7/6,Yes
87,2013/12/22,Yes
88,2009/8/9,No
89,2012/8/31,No
90,2009/6/17,No
91,2016/4/9,No
92,2011/1/2,No
93,2014/1/13,No
94,2010/3/1,No
95,2013/5/11,No
96,2016/3/31,No
97,2012/4/1,No
98,2015/2/11,No
