Date,RainTomorrow
2009/12/10,No
2017/3/11,No
2014/12/2,No
2017/2/8,No
2013/1/2,No
2009/3/9,No
2012/3/14,Yes
2011/10/18,Yes
2011/9/10,No
2009/8/19,Yes
2010/8/15,No
2010/4/29,No
2017/2/22,No
2011/7/28,No
2016/9/24,No
2012/4/7,No
2015/1/18,No
2009/9/11,No
2011/2/12,No
2012/5/20,No
2011/7/18,No
2014/2/19,No
2016/9/19,No
2014/10/20,No
2011/7/25,No
2016/9/26,No
2016/2/13,No
2014/3/7,No
2010/2/1,No
2016/5/19,No
2009/8/14,No
2011/3/30,No
2016/3/28,No
2009/11/6,No
2017/3/30,No
2010/7/4,No
2010/2/24,No
2011/1/5,Yes
2017/4/10,Yes
2014/7/1,No
2010/9/12,Yes
2010/2/19,No
2016/8/9,Yes
2013/12/6,No
2011/6/19,No
2017/5/8,No
2016/4/22,No
2016/5/10,No
2014/5/21,No
2016/5/26,No
2009/5/22,Yes
2015/10/8,No
2016/5/9,Yes
2013/12/17,No
2013/8/21,No
2014/2/16,No
2013/5/7,No
2017/3/28,No
2009/4/19,Yes
2016/4/14,No
2010/9/27,Yes
2016/6/9,No
2009/4/10,No
2015/1/30,No
2015/2/14,No
2016/10/26,Yes
2016/2/28,No
2013/7/19,Yes
2009/2/24,No
2014/3/21,No
2013/4/20,No
2015/12/6,Yes
2013/11/23,No
2009/6/18,No
2014/1/21,No
2015/6/23,No
2010/5/23,No
2010/7/7,No
2016/6/12,No
2009/5/22,Yes
2016/3/26,No
2010/6/8,No
2010/11/28,No
2012/10/8,No
2010/3/30,No
2012/6/4,No
2012/7/6,Yes
2013/12/22,Yes
2009/8/9,No
2012/8/31,No
2009/6/17,No
2016/4/9,No
2011/1/2,No
2014/1/13,No
2010/3/1,No
2013/5/11,Yes
2016/3/31,No
2012/4/1,No
2015/2/11,No
2015/2/14,No
2014/5/17,Yes
2010/1/1,Yes
2012/4/19,No
2010/4/8,No
2017/6/22,No
2008/12/4,No
2017/3/9,No
2013/8/29,Yes
2010/9/26,No
2015/9/18,No
2014/6/18,No
2012/6/1,No
2016/9/16,No
2014/2/25,No
2011/3/24,No
2014/10/11,No
2017/6/17,No
2010/4/18,No
2017/1/5,No
2011/8/25,No
2011/7/16,No
2016/6/5,Yes
2013/10/31,No
2013/12/6,No
2011/3/24,Yes
2010/11/20,No
2014/10/4,No
2013/1/8,No
2009/10/28,No
2015/11/2,Yes
2009/8/5,No
2011/12/17,No
2008/2/5,Yes
2016/11/28,No
2014/10/16,No
2015/11/24,No
2015/6/24,Yes
2016/5/8,No
2013/12/5,No
2009/9/1,No
2014/10/17,No
2012/6/9,No
2016/4/14,No
2013/7/12,Yes
2015/1/1,No
2009/8/9,No
2011/5/27,No
2016/4/8,No
2013/11/16,No
2017/2/19,No
2012/3/30,No
2012/9/28,Yes
2016/9/4,No
2015/10/12,No
2016/5/6,No
2014/9/26,No
2013/5/29,Yes
2012/5/20,No
2015/8/1,No
2016/8/22,No
2016/11/2,No
2010/7/25,No
2011/7/17,No
2011/5/1,No
2013/1/18,No
2013/7/16,No
2009/5/16,No
2013/5/3,Yes
2016/10/7,No
2016/3/5,No
2016/12/31,No
2013/6/16,No
2015/8/30,No
2016/9/21,No
2010/1/20,No
2014/4/28,No
2013/6/20,No
2017/5/17,No
2010/1/23,No
2014/2/28,No
2009/11/9,No
2016/8/21,Yes
2016/1/26,Yes
2012/8/31,No
2013/8/4,No
2010/2/16,No
2015/3/3,No
2010/5/5,Yes
2015/7/29,No
2014/3/3,No
2011/5/27,No
2013/10/12,No
2009/4/19,No
2016/8/6,Yes
2014/8/22,No
2017/2/16,No
2015/1/11,Yes
2010/7/21,No
2016/3/31,No
2015/7/14,No
2016/9/30,No
2012/4/24,No
2008/10/7,No
2014/2/23,No
2011/5/2,No
2013/12/16,No
2010/1/4,No
2014/9/2,No
2011/1/11,No
2014/3/30,No
2011/1/17,Yes
2011/3/18,No
2009/8/14,No
2009/1/26,No
2010/2/8,No
2010/1/2,No
2015/7/22,Yes
2009/5/30,No
2012/5/23,No
2016/11/29,No
2010/3/27,No
2015/1/16,No
2010/1/4,No
2012/8/11,No
2009/7/16,No
2015/11/5,Yes
2011/6/4,No
2014/1/10,No
2013/8/25,No
2008/12/23,No
2014/7/1,No
2013/12/18,No
2010/5/30,No
2013/10/23,No
2015/2/8,No
2009/1/26,No
2016/8/27,No
2013/4/12,No
2017/1/6,Yes
2010/12/13,No
2011/6/9,No
2015/9/27,No
2016/6/20,Yes
2014/1/19,No
2011/11/22,No
2017/1/15,No
2013/1/7,No
2015/2/25,Yes
2011/7/17,Yes
2013/4/23,No
2011/6/17,No
2011/5/31,No
2012/8/17,No
2009/3/18,No
2016/5/26,No
2009/8/30,No
2009/5/30,Yes
2014/1/5,No
2017/5/12,No
2014/8/10,No
2011/5/12,No
2014/3/4,No
2010/3/15,No
2014/6/21,No
2012/1/29,Yes
2017/3/21,Yes
2016/12/5,No
2015/5/30,No
2012/1/22,No
2016/6/11,No
2009/6/24,No
2015/12/20,No
2012/11/16,No
2012/11/9,No
2011/3/13,No
2010/2/12,No
2011/11/17,Yes
2014/12/1,No
2016/12/21,No
2009/7/12,No
2014/5/8,No
2009/1/27,Yes
2009/4/5,No
2016/4/20,No
2016/10/4,No
2014/2/15,No
2015/5/1,No
2009/11/6,No
2016/1/4,No
2014/11/16,Yes
2015/1/7,No
2015/3/27,No
2016/2/2,No
2016/1/8,No
2010/5/7,No
2011/12/15,No
2009/7/9,Yes
2014/12/20,No
2017/3/20,Yes
2012/3/30,No
2010/4/8,No
2010/5/15,No
2015/8/4,No
2014/4/30,No
2015/4/12,No
2016/5/11,No
2017/5/20,No
2015/11/15,No
2009/3/30,No
2015/3/25,No
2013/12/5,No
2012/5/3,No
2009/5/6,No
2014/6/25,Yes
2010/2/3,No
2013/5/22,No
2015/9/3,No
2016/5/5,No
2011/1/20,No
2016/9/30,Yes
2013/9/20,Yes
2015/12/11,No
2013/8/19,No
2009/7/2,No
2017/5/3,No
2010/2/24,No
2015/9/23,No
2014/8/24,Yes
2011/5/21,No
2013/1/24,No
2009/11/8,No
2012/8/12,No
2010/1/21,No
2009/10/18,No
2009/5/23,No
2011/12/29,No
2015/10/5,No
2017/3/14,Yes
2010/4/21,No
2009/11/3,No
2017/3/30,No
2011/3/28,No
2014/10/23,No
2014/12/28,No
2011/2/19,No
2012/11/25,No
2009/8/22,Yes
2015/2/6,No
2014/8/13,No
2014/3/28,No
2014/2/4,Yes
2015/5/24,No
2008/12/16,No
2010/8/21,No
2009/5/2,No
2010/12/18,No
2010/7/9,No
2017/5/18,No
2011/1/1,No
2011/11/10,No
2016/5/17,No
2011/12/26,No
2013/6/13,Yes
2015/9/28,No
2009/11/26,No
2016/6/30,No
2011/5/18,No
2013/7/13,No
2016/9/12,No
2009/9/10,No
2009/10/15,Yes
2009/9/14,Yes
2011/2/28,No
2009/10/8,No
2016/1/12,No
2010/8/25,Yes
2011/8/3,No
2015/8/28,No
2016/8/14,No
2011/1/30,No
2009/6/18,No
2015/8/25,No
2013/1/30,Yes
2009/11/30,No
2014/6/20,No
2015/3/19,No
